id,name,province,sector,violations,last_inspection,zone,open_complaints
DEMO-EST-001,Demo Restaurant 001,Mount Lebanon,Restaurant,4,2026-01-05,RED,6
DEMO-EST-002,Demo Restaurant 002,South Lebanon,Restaurant,6,2025-04-06,RED,5
DEMO-EST-003,Demo Catering Delivery 003,Beirut,Catering & Delivery,0,2026-01-03,GREEN,1
DEMO-EST-004,Demo Beach Resort 004,Mount Lebanon,Beach Resort,1,2025-04-21,YELLOW,2
DEMO-EST-005,Demo Toys Children 005,South Lebanon,Toys & Children,0,2026-01-12,GREEN,0
DEMO-EST-006,Demo Catering Delivery 006,Mount Lebanon,Catering & Delivery,4,2026-07-01,RED,6
DEMO-EST-007,Demo Sweets Bakery 007,Beirut,Sweets & Bakery,3,2026-01-29,YELLOW,3
DEMO-EST-008,Demo Restaurant 008,Beirut,Restaurant,5,2025-03-07,RED,1
DEMO-EST-009,Demo Supermarket 009,Beirut,Supermarket,8,2026-01-28,RED,5
DEMO-EST-010,Demo Sweets Bakery 010,Beirut,Sweets & Bakery,0,2025-10-20,GREEN,1
DEMO-EST-011,Demo Pharmacy 011,North Lebanon,Pharmacy,1,2026-07-05,YELLOW,1
DEMO-EST-012,Demo Butchery 012,Bekaa,Butchery,0,2025-04-29,GREEN,0
DEMO-EST-013,Demo Supermarket 013,Beirut,Supermarket,9,2025-04-19,RED,1
DEMO-EST-014,Demo Supermarket 014,Beirut,Supermarket,5,2025-08-29,RED,5
DEMO-EST-015,Demo Hotel Resort 015,South Lebanon,Hotel & Resort,8,2025-07-12,RED,1
DEMO-EST-016,Demo Restaurant 016,South Lebanon,Restaurant,1,2025-10-30,YELLOW,2
DEMO-EST-017,Demo Pharmacy 017,Beirut,Pharmacy,0,2026-04-29,GREEN,0
DEMO-EST-018,Demo Supermarket 018,Beirut,Supermarket,1,2026-05-03,YELLOW,3
DEMO-EST-019,Demo Restaurant 019,Mount Lebanon,Restaurant,7,2026-04-16,RED,1
DEMO-EST-020,Demo Catering Delivery 020,Bekaa,Catering & Delivery,2,2026-07-24,YELLOW,3
DEMO-EST-021,Demo Butchery 021,Beirut,Butchery,8,2025-06-04,RED,5
DEMO-EST-022,Demo Sweets Bakery 022,Mount Lebanon,Sweets & Bakery,1,2025-12-06,YELLOW,3
DEMO-EST-023,Demo Butchery 023,North Lebanon,Butchery,3,2026-03-15,YELLOW,1
DEMO-EST-024,Demo Hotel Resort 024,South Lebanon,Hotel & Resort,0,2026-01-09,GREEN,1
DEMO-EST-025,Demo Butchery 025,Beirut,Butchery,0,2025-12-05,GREEN,0
DEMO-EST-026,Demo Pharmacy 026,Bekaa,Pharmacy,0,2026-06-30,GREEN,0
DEMO-EST-027,Demo Swimming Pool Water Park 027,Bekaa,Swimming Pool & Water Park,5,2025-09-16,RED,2
DEMO-EST-028,Demo Supermarket 028,Beirut,Supermarket,1,2025-07-24,YELLOW,3
DEMO-EST-029,Demo Street Food Vendor 029,Mount Lebanon,Street Food Vendor,0,2025-10-30,GREEN,1
DEMO-EST-030,Demo Supermarket 030,Beirut,Supermarket,1,2025-12-27,YELLOW,0
DEMO-EST-031,Demo Supermarket 031,Mount Lebanon,Supermarket,3,2026-02-14,YELLOW,2
DEMO-EST-032,Demo Supermarket 032,North Lebanon,Supermarket,1,2025-06-26,YELLOW,2
DEMO-EST-033,Demo Supermarket 033,Beirut,Supermarket,0,2026-03-11,GREEN,0
DEMO-EST-034,Demo Beach Resort 034,Mount Lebanon,Beach Resort,3,2026-06-21,YELLOW,2
DEMO-EST-035,Demo Clothing Fashion 035,Beirut,Clothing & Fashion,8,2025-05-14,RED,6
DEMO-EST-036,Demo Street Food Vendor 036,South Lebanon,Street Food Vendor,1,2025-10-07,YELLOW,0
DEMO-EST-037,Demo Supermarket 037,North Lebanon,Supermarket,0,2026-04-10,GREEN,0
DEMO-EST-038,Demo Restaurant 038,North Lebanon,Restaurant,0,2025-02-24,GREEN,1
DEMO-EST-039,Demo Swimming Pool Water Park 039,South Lebanon,Swimming Pool & Water Park,5,2025-04-14,RED,6
DEMO-EST-040,Demo Pharmacy 040,Mount Lebanon,Pharmacy,2,2025-05-16,YELLOW,0
DEMO-EST-041,Demo Street Food Vendor 041,Mount Lebanon,Street Food Vendor,0,2025-03-16,GREEN,0
DEMO-EST-042,Demo Catering Delivery 042,South Lebanon,Catering & Delivery,0,2026-03-12,GREEN,0
DEMO-EST-043,Demo Butchery 043,South Lebanon,Butchery,6,2026-02-15,RED,2
DEMO-EST-044,Demo Beach Resort 044,Beirut,Beach Resort,3,2025-05-15,YELLOW,2
DEMO-EST-045,Demo Petrol Station 045,Mount Lebanon,Petrol Station,0,2025-05-25,GREEN,0
